120.88.73.122 | Informações geográficas não encontradas | 156.246.19.251 | Informações geográficas não encontradas | 1726018340
120.88.73.121 | Informações geográficas não encontradas | 0.38 | 3
120.88.73.121 | Informações geográficas não encontradas | 0.239 | 3
120.88.73.121 | Informações geográficas não encontradas | 0.237 | 3
120.88.72.177 | Informações geográficas não encontradas | 0.44 | 3
120.88.72.177 | Informações geográficas não encontradas | 0.364 | 3
120.88.72.177 | Informações geográficas não encontradas | 0.372 | 3
45.127.173.66 | Informações geográficas não encontradas | 27.156 | 3
45.127.173.66 | Informações geográficas não encontradas | 27.183 | 3
45.127.173.66 | Informações geográficas não encontradas | 27.464 | 3
45.127.173.34 | Informações geográficas não encontradas | 41.618 | 3
45.127.173.34 | Informações geográficas não encontradas | 32.826 | 3
45.127.173.34 | Informações geográficas não encontradas | 31.035 | 3
156.246.19.251 | Informações geográficas não encontradas | 27.156 | 3
156.246.19.251 | Informações geográficas não encontradas | 27.115 | 3
156.246.19.251 | Informações geográficas não encontradas | 27.104 | 3
192.168.68.126 | Informações geográficas não encontradas | 154.92.25.9 | Informações geográficas não encontradas | 1726018344
192.168.68.94 | Informações geográficas não encontradas | 0.373 | 3
192.168.68.94 | Informações geográficas não encontradas | 0.291 | 3
192.168.68.94 | Informações geográficas não encontradas | 0.28 | 3
154.66.88.89 | Informações geográficas não encontradas | 26.512 | 3
154.66.88.89 | Informações geográficas não encontradas | 25.623 | 3
154.66.88.89 | Informações geográficas não encontradas | 25.729 | 3
154.66.88.33 | Informações geográficas não encontradas | 25.498 | 3
154.66.88.33 | Informações geográficas não encontradas | 25.956 | 3
154.66.88.33 | Informações geográficas não encontradas | 25.66 | 3
196.60.10.204 | Informações geográficas não encontradas | 62.014 | 3
196.60.10.204 | Informações geográficas não encontradas | 44.579 | 3
196.60.10.204 | Informações geográficas não encontradas | 52.403 | 3
154.92.25.9 | Informações geográficas não encontradas | 43.256 | 3
154.92.25.9 | Informações geográficas não encontradas | 43.485 | 3
154.92.25.9 | Informações geográficas não encontradas | 42.344 | 3
192.168.20.139 | Informações geográficas não encontradas | 156.246.19.251 | Informações geográficas não encontradas | 1726018481
192.168.20.1 | Informações geográficas não encontradas | 1.389 | 3
192.168.20.1 | Informações geográficas não encontradas | 1.194 | 3
192.168.20.1 | Informações geográficas não encontradas | 1.193 | 3
220.233.1.3 | Informações geográficas não encontradas | 20.066 | 3
220.233.1.3 | Informações geográficas não encontradas | 20.295 | 3
220.233.1.3 | Informações geográficas não encontradas | 20.254 | 3
10.1.23.228 | Informações geográficas não encontradas | 20.407 | 3
10.1.23.228 | Informações geográficas não encontradas | 20.337 | 3
10.1.23.228 | Informações geográficas não encontradas | 20.38 | 3
116.255.21.108 | Informações geográficas não encontradas | 20.452 | 3
116.255.21.108 | Informações geográficas não encontradas | 21.38 | 3
116.255.21.108 | Informações geográficas não encontradas | 20.653 | 3
103.200.13.70 | Informações geográficas não encontradas | 20.362 | 3
103.200.13.70 | Informações geográficas não encontradas | 20.635 | 3
103.200.13.70 | Informações geográficas não encontradas | 20.635 | 3
45.127.173.34 | Informações geográficas não encontradas | 29.303 | 3
45.127.173.34 | Informações geográficas não encontradas | 25.853 | 3
45.127.173.34 | Informações geográficas não encontradas | 26.619 | 3
156.246.19.251 | Informações geográficas não encontradas | 20.139 | 3
156.246.19.251 | Informações geográficas não encontradas | 31.485 | 3
156.246.19.251 | Informações geográficas não encontradas | 20.37 | 3
192.168.1.79 | Informações geográficas não encontradas | 156.246.19.249 | Informações geográficas não encontradas | 1726018340
192.168.1.254 | Informações geográficas não encontradas | 0.448 | 3
192.168.1.254 | Informações geográficas não encontradas | 0.341 | 3
